제목,시작일,종료일,장소,이미지 URL
이야기와 실뜨기,2025.04.09.,2025.04.14.,갤러리 코사,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_230%2F1744191402248q41EX_JPEG%2F360_main_thumb_url_1744191402221.jpeg
차라리 촛불 하나를 켜라,2025.04.10.,2025.05.02.,맨션나인,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_131%2F1744178836341Harwe_JPEG%2F360_main_thumb_url_1744178836295.jpg
A Glimpse of Emotion,2025.04.04.,2025.04.26.,피지갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_135%2F1744178586534toOxb_JPEG%2F360_main_thumb_url_1744178586494.jpg
구민선 개인전,2025.04.09.,2025.04.14.,갤러리인사아트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_114%2F1744177348068dgras_PNG%2F360_main_thumb_url_1744177348009.png
선(禪) 선(線)한 동행,2025.04.09.,2025.04.19.,중랑아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_105%2F174416940510603R2K_JPEG%2F360_main_thumb_url_1744169405055.jpg
최은경 : GATE,2025.04.06.,2025.04.19.,갤러리헬렌에이,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_179%2F17441667056787ENU1_JPEG%2F360_main_thumb_url_1744166705578.jpg
김용철 : Blooming Words & Molan,2025.04.09.,2025.05.07.,최정아갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_26%2F1744102868631Tbktt_JPEG%2F360_main_thumb_url_1744102868621.jpg
파인 틈을 응시하기,2025.04.02.,2025.04.13.,WWW SPACE,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_90%2F1744095920371ajxbQ_JPEG%2F360_main_thumb_url_1744095920322.jpg
"도시의 틈, 일상의 결",2025.04.07.,2025.05.03.,구로청년공간 청년이룸,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_220%2F174409535964342PMS_JPEG%2F360_main_thumb_url_1744095359621.jpg
(0)이 없는 자리,2025.04.07.,2025.04.13.,유영공간,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_274%2F17440933151872vkS0_JPEG%2F360_main_thumb_url_1744093315177.jpg
"차가운 고요, 따뜻한 푸름",2025.04.04.,2025.04.27.,자하미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_84%2F1744091219238g6KK0_JPEG%2F360_main_thumb_url_1744091219218.jpg
RESTOPIA,2025.04.03.,2025.04.27.,통인화랑,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_173%2F1744084559460PxCjf_JPEG%2F360_main_thumb_url_1744084559383.jpg
김귤이 : 무지개띠와 행진하는 기호들,2025.04.05.,2025.04.26.,로이갤러리 압구정,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_13%2F1744082734297IL5wb_JPEG%2F360_main_thumb_url_1744082734288.jpg
정재호 개인전,2025.04.09.,2025.04.14.,마루아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_139%2F17440815424533Y1S1_JPEG%2F360_main_thumb_url_1744081542426.jpg
Take the Flower Seriously : 꽃을 진지하게 바라보다,2025.03.27.,2025.04.19.,333갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_98%2F17440806699438m8ut_JPEG%2F360_main_thumb_url_1744080669916.jpg
異合 [이합 : ],2025.04.08.,2025.04.30.,삼세영,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_23%2F1744077998239x9LxW_JPEG%2F360_main_thumb_url_1744077998218.jpg
정재호 개인전,2025.04.09.,2025.04.14.,마루아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250407_193%2F17440193561428OG8P_JPEG%2F360_main_thumb_url_1744019356132.jpg
소울황소 : FOR YOUR DREAM,2025.04.09.,2025.04.14.,마루아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250407_138%2F1744018381058S94cq_JPEG%2F360_main_thumb_url_1744018381049.jpg
SERENDIPITY : 세렌디피티,2025.03.31.,2025.04.20.,현대백화점 디큐브시티,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250407_21%2F1744006285676bCx9h_PNG%2F360_main_thumb_url_1744006285649.png
양정수 개인전,2025.04.10.,2025.04.22.,에코락갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250407_229%2F174400561796986nCw_PNG%2F360_main_thumb_url_1744005617887.png
"폴가드 : 우리, 찰나의 존재들",2025.04.09.,2025.04.24.,SPACE22,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_154%2F17437540406579lNUF_JPEG%2F360_main_thumb_url_1743754040557.jpg
"컬러랑 정기회원전 10주년 기념전 '다시, 함께 그리는 10년'",2025.04.04.,2025.04.17.,갤러리 카페 더 칼라,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_285%2F1743751043033QbkRI_JPEG%2F360_main_thumb_url_1743751043024.jpg
ABOUT HER,2025.03.28.,2025.04.26.,갤러리효,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_247%2F1743745975379XJ2eq_PNG%2F360_main_thumb_url_1743745975260.png
To Bloom,2025.04.04.,2025.05.02.,더페이지갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_226%2F1743745605671cMHjl_JPEG%2F360_main_thumb_url_1743745605630.jpg
"폴가드 : 우리, 찰나의 존재들",2025.04.09.,2025.04.24.,SPACE22,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_154%2F17437540406579lNUF_JPEG%2F360_main_thumb_url_1743754040557.jpg
"컬러랑 정기회원전 10주년 기념전 '다시, 함께 그리는 10년'",2025.04.04.,2025.04.17.,갤러리 카페 더 칼라,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_285%2F1743751043033QbkRI_JPEG%2F360_main_thumb_url_1743751043024.jpg
ABOUT HER,2025.03.28.,2025.04.26.,갤러리효,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_247%2F1743745975379XJ2eq_PNG%2F360_main_thumb_url_1743745975260.png
To Bloom,2025.04.04.,2025.05.02.,더페이지갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_226%2F1743745605671cMHjl_JPEG%2F360_main_thumb_url_1743745605630.jpg
사유의 단면,2025.04.04.,2025.04.29.,열정갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_172%2F1743571908178QuGFm_JPEG%2F360_main_thumb_url_1743571908168.jpg
시간의 본질은 우리를 빠져나간다,2025.04.10.,2025.04.29.,충무로갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_5%2F1743571151587umsBV_JPEG%2F360_main_thumb_url_1743571151569.jpg
인연의 結,2025.04.04.,2025.05.01.,포브갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_26%2F1743566198377Rd2iU_JPEG%2F360_main_thumb_url_1743566198343.jpg
오래 남은 빛,2025.04.08.,2025.04.20.,하랑갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_280%2F1743564654527noaaL_PNG%2F360_main_thumb_url_1743564654401.png
眞珠之母(진주지모) : Eternal Glow 영원의 빛,2025.04.01.,2025.04.25.,금산갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_174%2F1743563896829VtsCB_JPEG%2F360_main_thumb_url_1743563896812.jpg
미묘한 공명,2025.04.07.,2025.04.21.,스페이시움,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_181%2F17435616816710ub9d_PNG%2F360_main_thumb_url_1743561681538.png
선 위에 토끼,2025.04.02.,2025.04.17.,블루원 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_281%2F17435612536531Sdkl_JPEG%2F360_main_thumb_url_1743561253644.jpg
권력과 숭배,2025.04.03.,2025.04.13.,갤러리아람,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_203%2F17434862129258zatI_JPEG%2F360_main_thumb_url_1743486212793.jpg
Impulse,2025.04.01.,2025.04.13.,TYA갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_152%2F1743477245458VKGDs_PNG%2F360_main_thumb_url_1743477245448.png
신장식 초대전,2025.04.01.,2025.04.12.,미앤갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_183%2F1743474621016Ndquy_JPEG%2F360_main_thumb_url_1743474620991.jpg
이강업 초대展,2025.04.03.,2025.04.27.,아트센터 자인,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_10%2F1743392636437bNdt7_JPEG%2F360_main_thumb_url_1743392636411.jpg
Beyond Visible - 보이는 것 너머,2025.04.03.,2025.04.26.,갤러리 나우,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_211%2F1743392306491bTFU0_JPEG%2F360_main_thumb_url_1743392306472.jpg
류지안 개인전,2025.04.10.,2025.04.30.,스텔라 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_256%2F1743390859502JX4Uj_JPEG%2F360_main_thumb_url_1743390859427.jpg
온실프로젝트_ 진정한 장소,2025.04.05.,2025.04.20.,서울자브종,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_250%2F17431439484124BrXT_JPEG%2F360_main_thumb_url_1743143948383.jpg
김정희 개인전,2025.03.31.,2025.04.13.,어바웃 프로젝트라운지,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_295%2F1743141008309Sfcb8_PNG%2F360_main_thumb_url_1743141008031.png
ECHO OF ANCIENT MYTHS,2025.04.07.,2025.04.27.,지든갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_273%2F1743139309680FM0PX_JPEG%2F360_main_thumb_url_1743139309647.jpg
Transition,2025.04.03.,2025.04.26.,SH GALLERY SEOUL,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_245%2F1743139024426XpLhM_PNG%2F360_main_thumb_url_1743139024308.png
Afterimages of Presence,2025.03.27.,2025.04.25.,엠앤송아트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_169%2F1743131014639g2HRy_JPEG%2F360_main_thumb_url_1743131014610.jpg
"Nevertheless, the windmill runs : 그럼에도, 풍차는 돌아간다",2025.03.22.,2025.04.19.,이길이구 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_129%2F1743057705245J35L7_PNG%2F360_main_thumb_url_1743057705188.png
Interhuman: 인간간,2025.04.02.,2025.04.14.,룩인사이드갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_127%2F1743056625806Lf5Sf_PNG%2F360_main_thumb_url_1743056625789.png
정하슬린 : Swan Table,2025.03.29.,2025.04.13.,아크원 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_65%2F1743055020577xU0Io_PNG%2F360_main_thumb_url_1743055020535.png
색(色)과 결(結),2025.04.04.,2025.04.30.,삼원갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_203%2F1743053604851PWMWf_JPEG%2F360_main_thumb_url_1743053604707.jpg
